Model,Fidelity,Error,split
1-fi,PBE,0.318,0
1-fi,PBE,0.254,1
1-fi,PBE,0.301,2
1-fi,PBE,0.264,3
1-fi,PBE,0.233,4
1-fi,PBE,0.249,5
1-fi,GLLB-SC,0.679,0
1-fi,GLLB-SC,0.763,1
1-fi,GLLB-SC,0.605,2
1-fi,GLLB-SC,0.635,3
1-fi,GLLB-SC,0.655,4
1-fi,GLLB-SC,0.763,5
1-fi,SCAN,1.006,0
1-fi,SCAN,0.607,1
1-fi,SCAN,0.69,2
1-fi,SCAN,0.748,3
1-fi,SCAN,0.894,4
1-fi,SCAN,0.73,5
1-fi,HSE,0.606,0
1-fi,HSE,0.586,1
1-fi,HSE,0.59,2
1-fi,HSE,0.545,3
1-fi,HSE,0.522,4
1-fi,HSE,0.58,5
1-fi,Exp,0.425,0
1-fi,Exp,0.546,1
1-fi,Exp,0.53,2
1-fi,Exp,0.524,3
1-fi,Exp,0.512,4
1-fi,Exp,0.412,5
2-fi,GLLB-SC,0.616,0
2-fi,GLLB-SC,0.493,1
2-fi,GLLB-SC,0.474,2
2-fi,GLLB-SC,0.63,3
2-fi,GLLB-SC,0.595,4
2-fi,GLLB-SC,0.52,5
2-fi,SCAN,0.685,0
2-fi,SCAN,0.352,1
2-fi,SCAN,0.452,2
2-fi,SCAN,0.526,3
2-fi,SCAN,0.633,4
2-fi,SCAN,0.47,5
2-fi,HSE,0.356,0
2-fi,HSE,0.462,1
2-fi,HSE,0.311,2
2-fi,HSE,0.289,3
2-fi,HSE,0.371,4
2-fi,HSE,0.394,5
2-fi,Exp,0.43,0
2-fi,Exp,0.342,1
2-fi,Exp,0.35,2
2-fi,Exp,0.471,3
2-fi,Exp,0.379,4
2-fi,Exp,0.44,5
4-fi,PBE,0.285,0
4-fi,PBE,0.257,1
4-fi,PBE,0.289,2
4-fi,PBE,0.294,3
4-fi,PBE,0.284,4
4-fi,PBE,0.261,5
4-fi,GLLB-SC,0.541,0
4-fi,GLLB-SC,0.512,1
4-fi,GLLB-SC,0.466,2
4-fi,GLLB-SC,0.471,3
4-fi,GLLB-SC,0.411,4
4-fi,GLLB-SC,0.506,5
4-fi,HSE,0.339,0
4-fi,HSE,0.265,1
4-fi,HSE,0.324,2
4-fi,HSE,0.34,3
4-fi,HSE,0.32,4
4-fi,HSE,0.262,5
4-fi,Exp,0.355,0
4-fi,Exp,0.419,1
4-fi,Exp,0.336,2
4-fi,Exp,0.417,3
4-fi,Exp,0.372,4
4-fi,Exp,0.366,5
5-fi,PBE,0.328,0
5-fi,PBE,0.356,1
5-fi,PBE,0.296,2
5-fi,PBE,0.283,3
5-fi,PBE,0.279,4
5-fi,PBE,0.283,5
5-fi,GLLB-SC,0.533,0
5-fi,GLLB-SC,0.54,1
5-fi,GLLB-SC,0.538,2
5-fi,GLLB-SC,0.446,3
5-fi,GLLB-SC,0.458,4
5-fi,GLLB-SC,0.466,5
5-fi,SCAN,0.342,0
5-fi,SCAN,0.535,1
5-fi,SCAN,0.564,2
5-fi,SCAN,0.339,3
5-fi,SCAN,0.61,4
5-fi,SCAN,0.322,5
5-fi,HSE,0.378,0
5-fi,HSE,0.389,1
5-fi,HSE,0.283,2
5-fi,HSE,0.323,3
5-fi,HSE,0.316,4
5-fi,HSE,0.295,5
5-fi,Exp,0.351,0
5-fi,Exp,0.42,1
5-fi,Exp,0.364,2
5-fi,Exp,0.451,3
5-fi,Exp,0.461,4
5-fi,Exp,0.366,5
1-fi-stacked,GLLB-SC,0.785,0
1-fi-stacked,GLLB-SC,0.848,1
1-fi-stacked,GLLB-SC,0.87,2
1-fi-stacked,GLLB-SC,0.909,3
1-fi-stacked,GLLB-SC,0.893,4
1-fi-stacked,GLLB-SC,0.864,5
1-fi-stacked,SCAN,0.602,0
1-fi-stacked,SCAN,0.586,1
1-fi-stacked,SCAN,0.428,2
1-fi-stacked,SCAN,0.761,3
1-fi-stacked,SCAN,0.483,4
1-fi-stacked,SCAN,0.611,5
1-fi-stacked,HSE,0.688,0
1-fi-stacked,HSE,0.728,1
1-fi-stacked,HSE,0.711,2
1-fi-stacked,HSE,0.679,3
1-fi-stacked,HSE,0.729,4
1-fi-stacked,HSE,0.72,5
1-fi-stacked,Exp,0.991,0
1-fi-stacked,Exp,0.927,1
1-fi-stacked,Exp,0.607,2
1-fi-stacked,Exp,0.453,3
1-fi-stacked,Exp,0.456,4
1-fi-stacked,Exp,0.545,5
